index,title,url
1,"1. Guidelines for Cardiovascular Diseases","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/3811.pdf"
2,"2. Guidelines for Critical Care","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/5821.pdf"
3,"3. Guidelines for Gastroenterological Diseases","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/9721.pdf"
4,"4. Guidelines for Obstetrics and Gynaecology","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/4571.pdf"
5,"5. Guidelines for Haemodialysis","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/358.pdf"
6,"6. Guidelines for Ophthalmology","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/6251.pdf"
7,"7. Guidelines for ENT","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/4251.pdf"
8,"8. Guidelines for Orthopaedics","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/8611.pdf"
9,"9. Guidelines for Medicine (Respiratory)","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/3261.pdf"
10,"10. Guidelines for Medicine (Non Respiratory Medical Conditions)","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/8721.pdf"
11,"11. Guidelines for Paediatrics and Paediatrics Surgery","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/891.pdf"
12,"12. Guidelines for General Surgery","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/6191.pdf"
13,"13. Guidelines for Interventional Radiology","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/2281.pdf"
14,"14. Guidelines for Oncology","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/2611.pdf"
15,"15. Guidelines for Organ Transplant - Liver","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/1511.pdf"
16,"16. Guidelines for Urology","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/9471.pdf"
17,"17. Guidelines for Laboratory Medicine","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/6491.pdf"
18,"18. Guidelines for G. I. Surgery","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/2101.pdf"
19,"19. Guidelines for Neurology","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/1621.pdf"
20,"Guidelines for Management of Epilepsy in India","http://www.clinicalestablishments.gov.in/WriteReadData/epilepsy-guidelines.pdf"
21,"21. Guidelines for Endocrinology","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/3601.pdf"
22,"a) Full Document","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/9451.pdf"
23,"b) Quick Reference Guide","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/7241.pdf"
24,"a) Full Document","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/5191.pdf"
25,"b) Quick Reference Guide","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/6591.pdf"
26,"a) Full Document","https://clinicalestablishments.mohfw.gov.in/sites/default/files/standard-treatment-guidelines/7661.pdf"
